TrustName,Sex_Desc,Age,Catchment,Patients,TrustCode
South Tyneside And Sunderland NHS Foundation Trust,Female,70-74,"13,658",9534,R0B
South Tyneside And Sunderland NHS Foundation Trust,Female,75-79,"9,899",8455,R0B
South Tyneside And Sunderland NHS Foundation Trust,Female,80-84,"7,977",8373,R0B
South Tyneside And Sunderland NHS Foundation Trust,Female,85-89,"5,018",6262,R0B
South Tyneside And Sunderland NHS Foundation Trust,Female,90+,"2,514",4299,R0B
University Hospitals Dorset NHS Foundation Trust,Male,00-04,"12,116",10116,R0D
University Hospitals Dorset NHS Foundation Trust,Male,05-Sep,"13,976",2244,R0D
University Hospitals Dorset NHS Foundation Trust,Male,Oct-14,"13,474",1854,R0D
University Hospitals Dorset NHS Foundation Trust,Male,15-19,"13,908",2314,R0D
University Hospitals Dorset NHS Foundation Trust,Male,20-24,"17,963",3127,R0D
University Hospitals Dorset NHS Foundation Trust,Male,25-29,"15,519",3448,R0D
University Hospitals Dorset NHS Foundation Trust,Male,30-34,"15,363",3782,R0D
University Hospitals Dorset NHS Foundation Trust,Male,35-39,"16,514",4156,R0D
University Hospitals Dorset NHS Foundation Trust,Male,40-44,"16,512",4443,R0D
University Hospitals Dorset NHS Foundation Trust,Male,45-49,"17,800",5405,R0D
University Hospitals Dorset NHS Foundation Trust,Male,50-54,"19,616",6942,R0D
University Hospitals Dorset NHS Foundation Trust,Male,55-59,"20,510",11307,R0D
University Hospitals Dorset NHS Foundation Trust,Male,60-64,"17,496",9024,R0D
University Hospitals Dorset NHS Foundation Trust,Male,65-69,"16,335",10086,R0D
University Hospitals Dorset NHS Foundation Trust,Male,70-74,"18,365",13148,R0D
University Hospitals Dorset NHS Foundation Trust,Male,75-79,"13,318",11849,R0D
University Hospitals Dorset NHS Foundation Trust,Male,80-84,"9,385",10548,R0D
University Hospitals Dorset NHS Foundation Trust,Male,85-89,"5,779",8170,R0D
University Hospitals Dorset NHS Foundation Trust,Male,90+,"3,068",5191,R0D
University Hospitals Dorset NHS Foundation Trust,Female,00-04,"11,739",9132,R0D
University Hospitals Dorset NHS Foundation Trust,Female,05-Sep,"13,065",1713,R0D
University Hospitals Dorset NHS Foundation Trust,Female,Oct-14,"12,878",1577,R0D
University Hospitals Dorset NHS Foundation Trust,Female,15-19,"13,797",3205,R0D
University Hospitals Dorset NHS Foundation Trust,Female,20-24,"15,802",5748,R0D
University Hospitals Dorset NHS Foundation Trust,Female,25-29,"13,638",8173,R0D
University Hospitals Dorset NHS Foundation Trust,Female,30-34,"14,537",9779,R0D
University Hospitals Dorset NHS Foundation Trust,Female,35-39,"16,485",7728,R0D
University Hospitals Dorset NHS Foundation Trust,Female,40-44,"16,104",5869,R0D
University Hospitals Dorset NHS Foundation Trust,Female,45-49,"17,839",6702,R0D
University Hospitals Dorset NHS Foundation Trust,Female,50-54,"19,774",7926,R0D
University Hospitals Dorset NHS Foundation Trust,Female,55-59,"21,052",11157,R0D
University Hospitals Dorset NHS Foundation Trust,Female,60-64,"18,604",8752,R0D
University Hospitals Dorset NHS Foundation Trust,Female,65-69,"18,039",9724,R0D
University Hospitals Dorset NHS Foundation Trust,Female,70-74,"20,426",12917,R0D
University Hospitals Dorset NHS Foundation Trust,Female,75-79,"14,942",11909,R0D
University Hospitals Dorset NHS Foundation Trust,Female,80-84,"11,504",11427,R0D
University Hospitals Dorset NHS Foundation Trust,Female,85-89,"8,423",10132,R0D
University Hospitals Dorset NHS Foundation Trust,Female,90+,"6,033",8825,R0D
Isle Of Wight NHS Trust,Male,00-04,"2,852",2123,R1F
Isle Of Wight NHS Trust,Male,05-Sep,"3,257",509,R1F
Isle Of Wight NHS Trust,Male,Oct-14,"3,258",447,R1F
Isle Of Wight NHS Trust,Male,15-19,"2,740",381,R1F
Isle Of Wight NHS Trust,Male,20-24,"2,687",419,R1F
Isle Of Wight NHS Trust,Male,25-29,"3,004",471,R1F
Isle Of Wight NHS Trust,Male,30-34,"2,834",543,R1F
Isle Of Wight NHS Trust,Male,35-39,"2,816",554,R1F
Isle Of Wight NHS Trust,Male,40-44,"2,869",652,R1F
Isle Of Wight NHS Trust,Male,45-49,"3,269",829,R1F
Isle Of Wight NHS Trust,Male,50-54,"4,007",1187,R1F
Isle Of Wight NHS Trust,Male,55-59,"4,075",1348,R1F
Isle Of Wight NHS Trust,Male,60-64,"4,003",1614,R1F
Isle Of Wight NHS Trust,Male,65-69,"3,817",1860,R1F
Isle Of Wight NHS Trust,Male,70-74,"4,318",2396,R1F
Isle Of Wight NHS Trust,Male,75-79,"3,206",2144,R1F
Isle Of Wight NHS Trust,Male,80-84,"2,134",1634,R1F
Isle Of Wight NHS Trust,Male,85-89,"1,244",1111,R1F
Isle Of Wight NHS Trust,Male,90+,680,688,R1F
Isle Of Wight NHS Trust,Female,00-04,"2,717",1849,R1F
Isle Of Wight NHS Trust,Female,05-Sep,"2,960",434,R1F
Isle Of Wight NHS Trust,Female,Oct-14,"3,096",404,R1F
Isle Of Wight NHS Trust,Female,15-19,"2,743",616,R1F
Isle Of Wight NHS Trust,Female,20-24,"2,742",973,R1F
Isle Of Wight NHS Trust,Female,25-29,"2,965",1466,R1F
Isle Of Wight NHS Trust,Female,30-34,"2,959",1353,R1F
Isle Of Wight NHS Trust,Female,35-39,"2,960",997,R1F
Isle Of Wight NHS Trust,Female,40-44,"2,782",792,R1F
Isle Of Wight NHS Trust,Female,45-49,"3,773",1037,R1F
Isle Of Wight NHS Trust,Female,50-54,"4,570",1352,R1F
Isle Of Wight NHS Trust,Female,55-59,"4,578",1488,R1F
Isle Of Wight NHS Trust,Female,60-64,"4,607",1560,R1F
Isle Of Wight NHS Trust,Female,65-69,"4,515",1841,R1F
Isle Of Wight NHS Trust,Female,70-74,"4,896",2238,R1F
Isle Of Wight NHS Trust,Female,75-79,"3,709",2130,R1F
Isle Of Wight NHS Trust,Female,80-84,"2,649",1832,R1F
Isle Of Wight NHS Trust,Female,85-89,"1,843",1451,R1F
Isle Of Wight NHS Trust,Female,90+,"1,348",1257,R1F
Barts Health NHS Trust,Male,00-04,"44,302",32317,R1H
Barts Health NHS Trust,Male,05-Sep,"44,991",6213,R1H
Barts Health NHS Trust,Male,Oct-14,"40,004",4519,R1H
Barts Health NHS Trust,Male,15-19,"34,914",4570,R1H
Barts Health NHS Trust,Male,20-24,"44,175",6364,R1H
Barts Health NHS Trust,Male,25-29,"57,100",8828,R1H
Barts Health NHS Trust,Male,30-34,"66,448",10116,R1H
Barts Health NHS Trust,Male,35-39,"60,296",10132,R1H
Barts Health NHS Trust,Male,40-44,"47,870",10244,R1H
Barts Health NHS Trust,Male,45-49,"41,841",10624,R1H
Barts Health NHS Trust,Male,50-54,"37,408",11353,R1H
Barts Health NHS Trust,Male,55-59,"30,508",11797,R1H
Barts Health NHS Trust,Male,60-64,"24,999",11496,R1H
Barts Health NHS Trust,Male,65-69,"18,616",10012,R1H
Barts Health NHS Trust,Male,70-74,"14,789",9051,R1H
Barts Health NHS Trust,Male,75-79,"9,898",7340,R1H
Barts Health NHS Trust,Male,80-84,"7,381",6379,R1H
Barts Health NHS Trust,Male,85-89,"4,021",4140,R1H
Barts Health NHS Trust,Male,90+,"2,091",2216,R1H
Barts Health NHS Trust,Female,00-04,"41,523",28121,R1H
Barts Health NHS Trust,Female,05-Sep,"41,479",4522,R1H
Barts Health NHS Trust,Female,Oct-14,"35,968",3685,R1H
Barts Health NHS Trust,Female,15-19,"30,312",5343,R1H
Barts Health NHS Trust,Female,20-24,"38,161",12279,R1H
Barts Health NHS Trust,Female,25-29,"48,859",21125,R1H
Barts Health NHS Trust,Female,30-34,"49,261",24592,R1H
Barts Health NHS Trust,Female,35-39,"44,206",19280,R1H
Barts Health NHS Trust,Female,40-44,"38,489",12311,R1H
Barts Health NHS Trust,Female,45-49,"34,155",10469,R1H
Barts Health NHS Trust,Female,50-54,"32,305",10725,R1H
Barts Health NHS Trust,Female,55-59,"27,592",10449,R1H
Barts Health NHS Trust,Female,60-64,"22,875",9495,R1H
Barts Health NHS Trust,Female,65-69,"18,695",8730,R1H
Barts Health NHS Trust,Female,70-74,"15,612",8386,R1H
Barts Health NHS Trust,Female,75-79,"11,136",7328,R1H
Barts Health NHS Trust,Female,80-84,"8,474",6602,R1H
Barts Health NHS Trust,Female,85-89,"5,414",4735,R1H
Barts Health NHS Trust,Female,90+,"3,794",3823,R1H
London North West University Healthcare NHS Trust,Male,00-04,"13,866",10651,R1K
London North West University Healthcare NHS Trust,Male,05-Sep,"14,883",2444,R1K
London North West University Healthcare NHS Trust,Male,Oct-14,"14,477",1890,R1K
London North West University Healthcare NHS Trust,Male,15-19,"17,986",2782,R1K
London North West University Healthcare NHS Trust,Male,20-24,"23,205",4256,R1K
London North West University Healthcare NHS Trust,Male,25-29,"27,725",5373,R1K
London North West University Healthcare NHS Trust,Male,30-34,"30,600",6113,R1K
London North West University Healthcare NHS Trust,Male,35-39,"29,695",6608,R1K
London North West University Healthcare NHS Trust,Male,40-44,"26,976",6784,R1K
London North West University Healthcare NHS Trust,Male,45-49,"23,313",7006,R1K
London North West University Healthcare NHS Trust,Male,50-54,"21,210",7428,R1K
London North West University Healthcare NHS Trust,Male,55-59,"23,624",13608,R1K
London North West University Healthcare NHS Trust,Male,60-64,"15,991",8005,R1K
London North West University Healthcare NHS Trust,Male,65-69,"12,072",7296,R1K
London North West University Healthcare NHS Trust,Male,70-74,"9,997",7008,R1K
London North West University Healthcare NHS Trust,Male,75-79,"6,567",5904,R1K
London North West University Healthcare NHS Trust,Male,80-84,"5,628",5584,R1K
London North West University Healthcare NHS Trust,Male,85-89,"3,311",3846,R1K
London North West University Healthcare NHS Trust,Male,90+,"1,930",2311,R1K
London North West University Healthcare NHS Trust,Female,00-04,"13,400",9598,R1K
London North West University Healthcare NHS Trust,Female,05-Sep,"14,114",1800,R1K
London North West University Healthcare NHS Trust,Female,Oct-14,"12,713",1446,R1K
London North West University Healthcare NHS Trust,Female,15-19,"16,144",3170,R1K
London North West University Healthcare NHS Trust,Female,20-24,"16,635",7118,R1K
London North West University Healthcare NHS Trust,Female,25-29,"16,887",10024,R1K
London North West University Healthcare NHS Trust,Female,30-34,"16,787",11442,R1K
London North West University Healthcare NHS Trust,Female,35-39,"18,781",9703,R1K
London North West University Healthcare NHS Trust,Female,40-44,"20,922",7598,R1K
London North West University Healthcare NHS Trust,Female,45-49,"21,467",7045,R1K
London North West University Healthcare NHS Trust,Female,50-54,"20,676",7543,R1K
London North West University Healthcare NHS Trust,Female,55-59,"23,194",12484,R1K
London North West University Healthcare NHS Trust,Female,60-64,"16,076",7206,R1K
London North West University Healthcare NHS Trust,Female,65-69,"12,570",6621,R1K
London North West University Healthcare NHS Trust,Female,70-74,"10,699",6799,R1K
London North West University Healthcare NHS Trust,Female,75-79,"7,952",6294,R1K
London North West University Healthcare NHS Trust,Female,80-84,"6,664",6085,R1K
