TrustName,Sex_Desc,Age,Catchment,Patients,TrustCode
Kingston Hospital NHS Foundation Trust,Male,65-69,"5,450",3209,RAX
Kingston Hospital NHS Foundation Trust,Male,70-74,"5,195",3583,RAX
Kingston Hospital NHS Foundation Trust,Male,75-79,"3,501",2987,RAX
Kingston Hospital NHS Foundation Trust,Male,80-84,"2,589",2639,RAX
Kingston Hospital NHS Foundation Trust,Male,85-89,"1,544",1912,RAX
Kingston Hospital NHS Foundation Trust,Male,90+,"1,016",1326,RAX
Kingston Hospital NHS Foundation Trust,Female,00-04,"14,009",9287,RAX
Kingston Hospital NHS Foundation Trust,Female,05-Sep,"10,619",1366,RAX
Kingston Hospital NHS Foundation Trust,Female,Oct-14,"9,487",1069,RAX
Kingston Hospital NHS Foundation Trust,Female,15-19,"8,901",1603,RAX
Kingston Hospital NHS Foundation Trust,Female,20-24,"10,484",2965,RAX
Kingston Hospital NHS Foundation Trust,Female,25-29,"11,681",4707,RAX
Kingston Hospital NHS Foundation Trust,Female,30-34,"14,397",7953,RAX
Kingston Hospital NHS Foundation Trust,Female,35-39,"16,848",7817,RAX
Kingston Hospital NHS Foundation Trust,Female,40-44,"14,886",4304,RAX
Kingston Hospital NHS Foundation Trust,Female,45-49,"12,710",3194,RAX
Kingston Hospital NHS Foundation Trust,Female,50-54,"11,391",3457,RAX
Kingston Hospital NHS Foundation Trust,Female,55-59,"8,548",3416,RAX
Kingston Hospital NHS Foundation Trust,Female,60-64,"7,525",3030,RAX
Kingston Hospital NHS Foundation Trust,Female,65-69,"6,335",3115,RAX
Kingston Hospital NHS Foundation Trust,Female,70-74,"6,391",3728,RAX
Kingston Hospital NHS Foundation Trust,Female,75-79,"4,645",3307,RAX
Kingston Hospital NHS Foundation Trust,Female,80-84,"3,671",3129,RAX
Kingston Hospital NHS Foundation Trust,Female,85-89,"2,589",2782,RAX
Kingston Hospital NHS Foundation Trust,Female,90+,"2,180",2723,RAX
Dorset County Hospital NHS Foundation Trust,Male,00-04,"4,244",3450,RBD
Dorset County Hospital NHS Foundation Trust,Male,05-Sep,"4,825",791,RBD
Dorset County Hospital NHS Foundation Trust,Male,Oct-14,"4,951",695,RBD
Dorset County Hospital NHS Foundation Trust,Male,15-19,"4,536",744,RBD
Dorset County Hospital NHS Foundation Trust,Male,20-24,"3,925",749,RBD
Dorset County Hospital NHS Foundation Trust,Male,25-29,"4,372",863,RBD
Dorset County Hospital NHS Foundation Trust,Male,30-34,"4,698",961,RBD
Dorset County Hospital NHS Foundation Trust,Male,35-39,"3,941",980,RBD
Dorset County Hospital NHS Foundation Trust,Male,40-44,"4,474",1094,RBD
Dorset County Hospital NHS Foundation Trust,Male,45-49,"5,234",1369,RBD
Dorset County Hospital NHS Foundation Trust,Male,50-54,"6,401",1928,RBD
Dorset County Hospital NHS Foundation Trust,Male,55-59,"6,909",3071,RBD
Dorset County Hospital NHS Foundation Trust,Male,60-64,"6,304",2740,RBD
Dorset County Hospital NHS Foundation Trust,Male,65-69,"6,081",3142,RBD
Dorset County Hospital NHS Foundation Trust,Male,70-74,"6,594",3926,RBD
Dorset County Hospital NHS Foundation Trust,Male,75-79,"4,801",3352,RBD
Dorset County Hospital NHS Foundation Trust,Male,80-84,"3,085",2735,RBD
Dorset County Hospital NHS Foundation Trust,Male,85-89,"1,791",1894,RBD
Dorset County Hospital NHS Foundation Trust,Male,90+,"1,005",1277,RBD
Dorset County Hospital NHS Foundation Trust,Female,00-04,"4,284",3053,RBD
Dorset County Hospital NHS Foundation Trust,Female,05-Sep,"4,601",627,RBD
Dorset County Hospital NHS Foundation Trust,Female,Oct-14,"4,771",616,RBD
Dorset County Hospital NHS Foundation Trust,Female,15-19,"4,094",972,RBD
Dorset County Hospital NHS Foundation Trust,Female,20-24,"3,587",1550,RBD
Dorset County Hospital NHS Foundation Trust,Female,25-29,"4,173",2322,RBD
Dorset County Hospital NHS Foundation Trust,Female,30-34,"4,695",2458,RBD
Dorset County Hospital NHS Foundation Trust,Female,35-39,"4,755",1856,RBD
Dorset County Hospital NHS Foundation Trust,Female,40-44,"4,532",1441,RBD
Dorset County Hospital NHS Foundation Trust,Female,45-49,"5,424",1758,RBD
Dorset County Hospital NHS Foundation Trust,Female,50-54,"6,693",2333,RBD
Dorset County Hospital NHS Foundation Trust,Female,55-59,"7,499",3289,RBD
Dorset County Hospital NHS Foundation Trust,Female,60-64,"6,851",2673,RBD
Dorset County Hospital NHS Foundation Trust,Female,65-69,"6,765",3086,RBD
Dorset County Hospital NHS Foundation Trust,Female,70-74,"7,051",3648,RBD
Dorset County Hospital NHS Foundation Trust,Female,75-79,"5,052",3141,RBD
Dorset County Hospital NHS Foundation Trust,Female,80-84,"3,698",2800,RBD
Dorset County Hospital NHS Foundation Trust,Female,85-89,"2,627",2455,RBD
Dorset County Hospital NHS Foundation Trust,Female,90+,"1,724",1890,RBD
Walsall Healthcare NHS Trust,Male,00-04,"9,710",7096,RBK
Walsall Healthcare NHS Trust,Male,05-Sep,"6,926",961,RBK
Walsall Healthcare NHS Trust,Male,Oct-14,"6,940",802,RBK
Walsall Healthcare NHS Trust,Male,15-19,"6,516",921,RBK
Walsall Healthcare NHS Trust,Male,20-24,"7,072",1141,RBK
Walsall Healthcare NHS Trust,Male,25-29,"8,105",1480,RBK
Walsall Healthcare NHS Trust,Male,30-34,"8,440",1775,RBK
Walsall Healthcare NHS Trust,Male,35-39,"8,244",1805,RBK
Walsall Healthcare NHS Trust,Male,40-44,"7,318",1944,RBK
Walsall Healthcare NHS Trust,Male,45-49,"7,665",2304,RBK
Walsall Healthcare NHS Trust,Male,50-54,"7,926",2551,RBK
Walsall Healthcare NHS Trust,Male,55-59,"6,717",2670,RBK
Walsall Healthcare NHS Trust,Male,60-64,"5,424",2605,RBK
Walsall Healthcare NHS Trust,Male,65-69,"4,799",2808,RBK
Walsall Healthcare NHS Trust,Male,70-74,"4,499",3001,RBK
Walsall Healthcare NHS Trust,Male,75-79,"3,459",2772,RBK
Walsall Healthcare NHS Trust,Male,80-84,"2,475",2450,RBK
Walsall Healthcare NHS Trust,Male,85-89,"1,320",1716,RBK
Walsall Healthcare NHS Trust,Male,90+,595,926,RBK
Walsall Healthcare NHS Trust,Female,00-04,"10,019",6572,RBK
Walsall Healthcare NHS Trust,Female,05-Sep,"6,226",694,RBK
Walsall Healthcare NHS Trust,Female,Oct-14,"6,742",753,RBK
Walsall Healthcare NHS Trust,Female,15-19,"7,912",1885,RBK
Walsall Healthcare NHS Trust,Female,20-24,"8,846",4239,RBK
Walsall Healthcare NHS Trust,Female,25-29,"9,884",5916,RBK
Walsall Healthcare NHS Trust,Female,30-34,"10,072",5616,RBK
Walsall Healthcare NHS Trust,Female,35-39,"9,468",4189,RBK
Walsall Healthcare NHS Trust,Female,40-44,"7,855",2739,RBK
Walsall Healthcare NHS Trust,Female,45-49,"8,018",2754,RBK
Walsall Healthcare NHS Trust,Female,50-54,"8,443",2944,RBK
Walsall Healthcare NHS Trust,Female,55-59,"7,743",2879,RBK
Walsall Healthcare NHS Trust,Female,60-64,"6,155",2686,RBK
Walsall Healthcare NHS Trust,Female,65-69,"5,133",2591,RBK
Walsall Healthcare NHS Trust,Female,70-74,"5,127",2852,RBK
Walsall Healthcare NHS Trust,Female,75-79,"4,277",2964,RBK
Walsall Healthcare NHS Trust,Female,80-84,"3,475",2851,RBK
Walsall Healthcare NHS Trust,Female,85-89,"2,242",2374,RBK
Walsall Healthcare NHS Trust,Female,90+,"1,399",1779,RBK
Wirral University Teaching Hospital NHS Foundation Trust,Male,00-04,"8,266",6751,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,05-Sep,"8,106",1355,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,Oct-14,"7,964",1128,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,15-19,"7,540",1354,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,20-24,"7,666",1623,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,25-29,"8,468",1915,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,30-34,"8,682",2166,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,35-39,"8,268",2223,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,40-44,"7,885",2271,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,45-49,"8,770",2863,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,50-54,"9,905",3550,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,55-59,"10,254",5139,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,60-64,"8,590",4266,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,65-69,"7,929",4557,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,70-74,"7,923",5172,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,75-79,"5,461",4289,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,80-84,"3,826",3566,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,85-89,"2,231",2563,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Male,90+,"1,139",1514,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,00-04,"7,876",6018,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,05-Sep,"7,704",1020,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,Oct-14,"7,960",1111,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,15-19,"7,742",2048,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,20-24,"7,562",3693,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,25-29,"8,940",4956,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,30-34,"9,520",5785,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,35-39,"9,338",4359,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,40-44,"8,932",3168,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,45-49,"9,715",3521,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,50-54,"11,018",4255,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,55-59,"11,508",5375,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,60-64,"9,870",4407,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,65-69,"8,984",4444,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,70-74,"8,801",5068,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,75-79,"6,803",4467,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,80-84,"5,326",4150,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,85-89,"3,659",3501,RBL
Wirral University Teaching Hospital NHS Foundation Trust,Female,90+,"2,430",2740,RBL
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,00-04,"9,171",8290,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,05-Sep,"6,093",1070,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,Oct-14,"5,559",823,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,15-19,"9,295",1856,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,20-24,"12,783",2751,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,25-29,"14,423",3378,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,30-34,"13,882",3715,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,35-39,"12,927",3734,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,40-44,"11,386",3618,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,45-49,"12,209",4327,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,50-54,"12,990",5219,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,55-59,"13,642",7935,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,60-64,"10,575",5830,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,65-69,"8,999",5567,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,70-74,"9,024",6493,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,75-79,"6,436",5616,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,80-84,"4,629",4844,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,85-89,"2,603",3221,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Male,90+,961,1504,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,00-04,"8,713",7338,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,05-Sep,"6,070",888,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,Oct-14,"5,882",894,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,15-19,"8,487",2623,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,20-24,"10,342",5097,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,25-29,"12,528",7552,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,30-34,"12,642",7765,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,35-39,"11,719",5752,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,40-44,"11,040",4365,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,45-49,"12,826",4954,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,50-54,"13,709",5800,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,55-59,"14,725",7868,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,60-64,"11,756",5766,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,65-69,"9,993",5449,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,70-74,"10,198",6430,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,75-79,"7,379",5606,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,80-84,"6,128",5647,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,85-89,"3,852",4127,RBN
St Helens And Knowsley Teaching Hospitals NHS Trust,Female,90+,"2,076",2837,RBN
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,Oct-14,14,0,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,15-19,406,81,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,20-24,987,174,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,25-29,"1,070",216,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,30-34,"1,140",249,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,35-39,"1,204",297,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,40-44,"1,497",415,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,45-49,"2,504",804,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,50-54,"3,268",1223,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,55-59,"3,693",1949,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,60-64,"4,117",2169,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,65-69,"3,612",2176,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,70-74,"3,488",2398,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,75-79,"2,392",1997,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,80-84,"1,357",1380,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,85-89,528,635,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Male,90+,132,192,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,15-19,242,59,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,20-24,376,151,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,25-29,309,146,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,30-34,338,188,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,35-39,482,213,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,40-44,614,229,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,45-49,"1,107",413,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,50-54,"1,369",570,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,55-59,"1,644",811,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,60-64,"2,106",1024,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,65-69,"2,099",1141,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,70-74,"2,342",1432,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,75-79,"1,714",1267,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,80-84,"1,080",942,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,85-89,439,451,RBQ
Liverpool Heart And Chest Hospital NHS Foundation Trust,Female,90+,135,160,RBQ
Alder Hey Children's NHS Foundation Trust,Male,00-04,"15,831",13414,RBS
Alder Hey Children's NHS Foundation Trust,Male,05-Sep,"37,807",6539,RBS
Alder Hey Children's NHS Foundation Trust,Male,Oct-14,"37,108",5339,RBS
Alder Hey Children's NHS Foundation Trust,Male,15-19,"13,761",2515,RBS
Alder Hey Children's NHS Foundation Trust,Male,20-24,394,72,RBS
Alder Hey Children's NHS Foundation Trust,Male,25-29,19,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,35-39,6,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,40-44,4,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,45-49,3,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,50-54,2,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,55-59,4,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,60-64,7,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,65-69,5,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,70-74,4,0,RBS
Alder Hey Children's NHS Foundation Trust,Male,75-79,1,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,00-04,"12,284",9547,RBS
Alder Hey Children's NHS Foundation Trust,Female,05-Sep,"34,217",5164,RBS
Alder Hey Children's NHS Foundation Trust,Female,Oct-14,"32,875",4703,RBS
Alder Hey Children's NHS Foundation Trust,Female,15-19,"9,356",2599,RBS
Alder Hey Children's NHS Foundation Trust,Female,20-24,148,65,RBS
Alder Hey Children's NHS Foundation Trust,Female,25-29,22,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,30-34,4,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,40-44,5,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,45-49,2,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,50-54,6,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,55-59,2,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,60-64,2,0,RBS
Alder Hey Children's NHS Foundation Trust,Female,65-69,4,0,RBS
Mid Cheshire Hospitals NHS Foundation Trust,Male,00-04,"6,485",3398,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,05-Sep,"7,123",1200,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,Oct-14,"6,617",912,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,15-19,"6,275",1089,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,20-24,"6,631",1418,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,25-29,"7,925",1773,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,30-34,"7,358",1955,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,35-39,"7,537",1925,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,40-44,"7,118",1938,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,45-49,"8,474",2461,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,50-54,"9,232",3058,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,55-59,"12,044",6228,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,60-64,"7,453",3633,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,65-69,"6,401",3606,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,70-74,"6,850",4253,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,75-79,"4,812",3646,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,80-84,"3,169",3072,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,85-89,"1,781",2053,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Male,90+,904,1191,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,00-04,"6,292",2823,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,05-Sep,"7,049",953,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,Oct-14,"6,397",916,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,15-19,"6,527",1797,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,20-24,"6,549",3323,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,25-29,"7,811",4758,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,30-34,"8,243",5001,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,35-39,"8,074",3631,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,40-44,"7,375",2582,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,45-49,"8,525",2867,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,50-54,"9,699",3514,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,55-59,"12,221",6044,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,60-64,"7,989",3393,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,65-69,"7,091",3514,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,70-74,"7,621",4324,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,75-79,"5,549",3867,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,80-84,"4,116",3481,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,85-89,"2,667",2829,RBT
Mid Cheshire Hospitals NHS Foundation Trust,Female,90+,"1,934",2314,RBT
The Christie NHS Foundation Trust,Male,00-04,34,21,RBV
The Christie NHS Foundation Trust,Male,05-Sep,236,39,RBV
The Christie NHS Foundation Trust,Male,Oct-14,92,11,RBV
The Christie NHS Foundation Trust,Male,15-19,492,64,RBV
The Christie NHS Foundation Trust,Male,20-24,"1,454",199,RBV
The Christie NHS Foundation Trust,Male,25-29,"1,383",180,RBV
The Christie NHS Foundation Trust,Male,30-34,"1,453",204,RBV
The Christie NHS Foundation Trust,Male,35-39,"1,339",218,RBV
The Christie NHS Foundation Trust,Male,40-44,"1,665",276,RBV
The Christie NHS Foundation Trust,Male,45-49,"2,457",443,RBV
The Christie NHS Foundation Trust,Male,50-54,"3,932",866,RBV
The Christie NHS Foundation Trust,Male,55-59,"4,806",1286,RBV
The Christie NHS Foundation Trust,Male,60-64,"5,022",1580,RBV
The Christie NHS Foundation Trust,Male,65-69,"5,042",1824,RBV
The Christie NHS Foundation Trust,Male,70-74,"5,151",2071,RBV
The Christie NHS Foundation Trust,Male,75-79,"2,696",1333,RBV
The Christie NHS Foundation Trust,Male,80-84,"1,333",717,RBV
The Christie NHS Foundation Trust,Male,85-89,564,310,RBV
The Christie NHS Foundation Trust,Male,90+,204,129,RBV
The Christie NHS Foundation Trust,Female,00-04,36,20,RBV
The Christie NHS Foundation Trust,Female,05-Sep,215,30,RBV
The Christie NHS Foundation Trust,Female,Oct-14,73,10,RBV
The Christie NHS Foundation Trust,Female,15-19,477,80,RBV
The Christie NHS Foundation Trust,Female,20-24,689,160,RBV
The Christie NHS Foundation Trust,Female,25-29,696,220,RBV
The Christie NHS Foundation Trust,Female,30-34,"1,069",377,RBV
The Christie NHS Foundation Trust,Female,35-39,"1,607",458,RBV
The Christie NHS Foundation Trust,Female,40-44,"2,610",565,RBV
The Christie NHS Foundation Trust,Female,45-49,"4,244",864,RBV
The Christie NHS Foundation Trust,Female,50-54,"4,962",1125,RBV
The Christie NHS Foundation Trust,Female,55-59,"5,501",1358,RBV
The Christie NHS Foundation Trust,Female,60-64,"4,952",1418,RBV
The Christie NHS Foundation Trust,Female,65-69,"4,427",1417,RBV
The Christie NHS Foundation Trust,Female,70-74,"4,534",1686,RBV
The Christie NHS Foundation Trust,Female,75-79,"2,694",1119,RBV
The Christie NHS Foundation Trust,Female,80-84,"1,335",612,RBV
The Christie NHS Foundation Trust,Female,85-89,645,297,RBV
The Christie NHS Foundation Trust,Female,90+,246,113,RBV
Northern Devon Healthcare NHS Trust,Male,00-04,"3,884",3098,RBZ
Northern Devon Healthcare NHS Trust,Male,05-Sep,"5,890",1041,RBZ
Northern Devon Healthcare NHS Trust,Male,Oct-14,"4,491",644,RBZ
Northern Devon Healthcare NHS Trust,Male,15-19,"3,652",569,RBZ
Northern Devon Healthcare NHS Trust,Male,20-24,"3,067",556,RBZ
Northern Devon Healthcare NHS Trust,Male,25-29,"3,435",639,RBZ
Northern Devon Healthcare NHS Trust,Male,30-34,"3,581",633,RBZ
Northern Devon Healthcare NHS Trust,Male,35-39,"3,542",745,RBZ
Northern Devon Healthcare NHS Trust,Male,40-44,"3,689",823,RBZ
Northern Devon Healthcare NHS Trust,Male,45-49,"4,290",1120,RBZ
Northern Devon Healthcare NHS Trust,Male,50-54,"4,942",1495,RBZ
Northern Devon Healthcare NHS Trust,Male,55-59,"5,537",2267,RBZ
Northern Devon Healthcare NHS Trust,Male,60-64,"4,836",2070,RBZ
Northern Devon Healthcare NHS Trust,Male,65-69,"4,567",2417,RBZ
Northern Devon Healthcare NHS Trust,Male,70-74,"4,935",3025,RBZ
Northern Devon Healthcare NHS Trust,Male,75-79,"3,463",2616,RBZ
Northern Devon Healthcare NHS Trust,Male,80-84,"2,324",2132,RBZ
Northern Devon Healthcare NHS Trust,Male,85-89,"1,384",1494,RBZ
Northern Devon Healthcare NHS Trust,Male,90+,685,899,RBZ
Northern Devon Healthcare NHS Trust,Female,00-04,"3,667",2806,RBZ
Northern Devon Healthcare NHS Trust,Female,05-Sep,"5,639",883,RBZ
Northern Devon Healthcare NHS Trust,Female,Oct-14,"4,352",583,RBZ
Northern Devon Healthcare NHS Trust,Female,15-19,"3,513",834,RBZ
Northern Devon Healthcare NHS Trust,Female,20-24,"3,194",1525,RBZ
Northern Devon Healthcare NHS Trust,Female,25-29,"3,704",2083,RBZ
Northern Devon Healthcare NHS Trust,Female,30-34,"4,127",2164,RBZ
Northern Devon Healthcare NHS Trust,Female,35-39,"4,055",1643,RBZ
Northern Devon Healthcare NHS Trust,Female,40-44,"4,134",1182,RBZ
Northern Devon Healthcare NHS Trust,Female,45-49,"4,816",1386,RBZ
Northern Devon Healthcare NHS Trust,Female,50-54,"5,650",1746,RBZ
Northern Devon Healthcare NHS Trust,Female,55-59,"6,075",2348,RBZ
Northern Devon Healthcare NHS Trust,Female,60-64,"5,677",2063,RBZ
Northern Devon Healthcare NHS Trust,Female,65-69,"5,235",2260,RBZ
Northern Devon Healthcare NHS Trust,Female,70-74,"5,466",2772,RBZ
Northern Devon Healthcare NHS Trust,Female,75-79,"4,243",2688,RBZ
Northern Devon Healthcare NHS Trust,Female,80-84,"2,918",2228,RBZ
Northern Devon Healthcare NHS Trust,Female,85-89,"2,048",1849,RBZ
Northern Devon Healthcare NHS Trust,Female,90+,"1,538",1522,RBZ
Bedfordshire Hospitals NHS Foundation Trust,Male,00-04,"23,179",18186,RC9
